location,source,target,id,fuzzy,context,translator_comments,developer_comments
,How do I use Soundscape with a wayfinding app?,How do I use Soundscape with a wayfinding app?,,False,faq_use_with_wayfinding_apps_question,,"' Wayfinding - The process or activity of ascertaining one’s position and planning and following a route. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"Soundscape is designed as an awareness app to help fill in details about your environment that you may not be aware of otherwise. While it is not designed as a turn-by-turn navigation app, it can be used alongside such apps to provide complementary information. To use Soundscape with these apps, start your navigation app first. Then, move over to Soundscape and set a beacon on the same destination as in the navigation app. At this point, both apps will be running and you will hear walking directions from your navigation app, while getting updates on points of interest, intersections, and your distance to your destination from Soundscape.","Soundscape is designed as an awareness app to help fill in details about your environment that you may not be aware of otherwise. While it is not designed as a turn-by-turn navigation app, it can be used alongside such apps to provide complementary information. To use Soundscape with these apps, start your navigation app first. Then, move over to Soundscape and set a beacon on the same destination as in the navigation app. At this point, both apps will be running and you will hear walking directions from your navigation app, while getting updates on points of interest, intersections, and your distance to your destination from Soundscape.",,False,faq_use_with_wayfinding_apps_answer,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. Intersection - A junction where two or more roads meet or cross. '"
,How do I control what I hear and when I hear it in Soundscape?,How do I control what I hear and when I hear it in Soundscape?,,False,faq_controlling_what_you_hear_question,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"Soundscape provides several ways to control what you hear and when:

1. Immediately stop all audio: Double tap the screen with two fingers to immediately turn off all audio, including any callout that is currently playing and the beacon if it is on. Callouts will resume automatically when you approach the next intersection or point of interest, but the audible beacon will not. Select the *""unmute beacon button""* on the main screen to resume hearing the beacon.

2. Stop automatic callouts: When you are not traveling or have reached a destination, you probably will not need Soundscape to continue to notify you of things around you. Instead of exiting the app, you can put Soundscape in to Snooze mode and it will wake up again when you leave, or you can put Soundscape into Sleep mode and it will stay off until you choose to turn it back on. Alternatively, you can select *""Settings""* from the menu and choose to turn all callouts off in the *""Callouts""* section.

3. Stop the beacon: There are several scenarios for which you might set a destination, but not need the audible beacon on. For example, you may know exactly how to get to your destination but want to get automatic updates about how far away you are from your destination. Or, you may know roughly how to get to your destination, and only need the audio beacon as you near your destination. Whatever the case, you can choose when to hear the beacon by toggling the *""mute beacon""*/*""unmute beacon""* button on the main screen.","Soundscape provides several ways to control what you hear and when:

1. Immediately stop all audio: Double tap the screen with two fingers to immediately turn off all audio, including any callout that is currently playing and the beacon if it is on. Callouts will resume automatically when you approach the next intersection or point of interest, but the audible beacon will not. Select the *""unmute beacon button""* on the main screen to resume hearing the beacon.

2. Stop automatic callouts: When you are not traveling or have reached a destination, you probably will not need Soundscape to continue to notify you of things around you. Instead of exiting the app, you can put Soundscape in to Snooze mode and it will wake up again when you leave, or you can put Soundscape into Sleep mode and it will stay off until you choose to turn it back on. Alternatively, you can select *""Settings""* from the menu and choose to turn all callouts off in the *""Callouts""* section.

3. Stop the beacon: There are several scenarios for which you might set a destination, but not need the audible beacon on. For example, you may know exactly how to get to your destination but want to get automatic updates about how far away you are from your destination. Or, you may know roughly how to get to your destination, and only need the audio beacon as you near your destination. Whatever the case, you can choose when to hear the beacon by toggling the *""mute beacon""*/*""unmute beacon""* button on the main screen.",,False,faq_controlling_what_you_hear_answer,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. Callout - a short audio clip with speech and/or sound effect serving as a piece of information. For example, the application can output an audio callout to notify the user that the battery is low. A 'beacon' or 'audio beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. Intersection - A junction where two or more roads meet or cross. Point of interest - A specific location that someone may find useful or interesting. Snooze - To put the app in an idle state that is interrupted by user movement. Sleep - To put the app in an idle state for a period of time. Quotes written as \"" '"
,Do I need to hold the phone in my hand all the time?,Do I need to hold the phone in my hand all the time?,,False,faq_holding_phone_flat_question,,' A frequently asked question about how the user should hold their phone '
,"No! While walking you can put the phone away in a bag or pocket or wherever is convenient. Soundscape will use the direction you are walking to figure out which callouts to announce to your left and to your right. When you stop moving, Soundscape does not know which direction you are facing. If the audible beacon is on, you will notice it get quiet until you start moving again. You can pull the phone out to press the location and exploration buttons at the bottom of the screen at any time but make sure to hold the phone with the top of the phone pointing in the direction you are facing and with the screen to the sky. In this *""flat""* position, Soundscape will use the phone’s compass to determine which way you are facing and provide accurate spatial callouts. If the beacon is on, you will also notice that it returns to full volume.","No! While walking you can put the phone away in a bag or pocket or wherever is convenient. Soundscape will use the direction you are walking to figure out which callouts to announce to your left and to your right. When you stop moving, Soundscape does not know which direction you are facing. If the audible beacon is on, you will notice it get quiet until you start moving again. You can pull the phone out to press the location and exploration buttons at the bottom of the screen at any time but make sure to hold the phone with the top of the phone pointing in the direction you are facing and with the screen to the sky. In this *""flat""* position, Soundscape will use the phone’s compass to determine which way you are facing and provide accurate spatial callouts. If the beacon is on, you will also notice that it returns to full volume.",,False,faq_holding_phone_flat_answer,,"' Callout - a short audio clip with speech and/or sound effect serving as a piece of information. For example, the application can output an audio callout to notify the user that the battery is low. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. A 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. Quotes written as \"" '"
,What is Open Street Map and why do we use it for Soundscape?,What is Open Street Map and why do we use it for Soundscape?,,False,faq_what_is_osm_question,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"Soundscape draws on geographic map data to provide the information callouts in the app. The primary map source we use is Open Street Map (www.openstreetmap.org) which is a rich community generated mapping platform, that enables organizations and individuals to improve the quality and granularity of the information provided and the accessibility of their spaces using Open Street Map map authoring tools.","Soundscape draws on geographic map data to provide the information callouts in the app. The primary map source we use is Open Street Map (www.openstreetmap.org) which is a rich community generated mapping platform, that enables organizations and individuals to improve the quality and granularity of the information provided and the accessibility of their spaces using Open Street Map map authoring tools.",,False,faq_what_is_osm_answer,,"' Callout - a short audio clip with speech and/or sound effect serving as a piece of information. For example, the application can output an audio callout to notify the user that the battery is low. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"If you put your phone in your pocket and stop moving, the beacon sound will get quieter because Soundscape can’t tell which way you are facing. Solve this by starting to walk again, or pulling your phone out and holding it flat.","If you put your phone in your pocket and stop moving, the beacon sound will get quieter because Soundscape can’t tell which way you are facing. Solve this by starting to walk again, or pulling your phone out and holding it flat.",,False,faq_tip_beacon_quiet,,"' The 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"You can set a beacon on any address. From the main Soundscape screen, search for the address. After selecting the address in the search results, a *""Location Details""* screen will be shown and it has an option to *""Start Audio Beacon""* on the address. In this way, you can set a beacon on businesses, places, points of interest, and residences that are not in Open Street Maps.","You can set a beacon on any address. From the main Soundscape screen, search for the address. After selecting the address in the search results, a *""Location Details""* screen will be shown and it has an option to *""Start Audio Beacon""* on the address. In this way, you can set a beacon on businesses, places, points of interest, and residences that are not in Open Street Maps.",,False,faq_tip_setting_beacon_on_address,,"' The 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. ""Start Audio Beacon"" should be translated the same as ""location_detail.action.beacon"" Quotes written as \"" '"
,"You can find nearby bus stops by selecting the *""Public Transit""* filter in the Nearby Places list.","You can find nearby bus stops by selecting the *""Public Transit""* filter in the Nearby Places list.",,False,faq_tip_finding_bus_stops,,"' 'Nearby Places' is a screen in the app that shows a list of places that are close to the user. Quotes written as \"" '"
,You can turn on and off the rhythmic sound of the beacon using the mute button on the home screen. If the beacon is muted you will still get updates about your distance to your destination every 50 meters or so.,You can turn on and off the rhythmic sound of the beacon using the mute button on the home screen. If the beacon is muted you will still get updates about your distance to your destination every 50 meters or so.,,False,faq_tip_turning_beacon_off,,' Preserve meters unit - Do not convert. The 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. '
,"If you still want to interact with Soundscape but don’t want to hear automatic callouts you can turn callouts off by going to the *""Callouts""* section of the *""Settings""* screen from the menu. Or, if you aren’t going to be using Soundscape you can put it in either Sleep or Snooze mode using the *""Sleep""* button on the home screen.","If you still want to interact with Soundscape but don’t want to hear automatic callouts you can turn callouts off by going to the *""Callouts""* section of the *""Settings""* screen from the menu. Or, if you aren’t going to be using Soundscape you can put it in either Sleep or Snooze mode using the *""Sleep""* button on the home screen.",,False,faq_tip_turning_off_auto_callouts,,"' 'Callouts' is the name of one of the sections on the Soundscape Settings screen. Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. Callout - a short audio clip with speech and/or sound effect serving as a piece of information. For example, the application can output an audio callout to notify the user that the battery is low. Snooze - To put the app in an idle state that is interrupted by user movement. Sleep - To put the app in an idle state for a period of time. Quotes written as \"" '"
,Soundscape works best when you hold the phone flat with the screen facing the sky and the top of the phone pointing away from you.,Soundscape works best when you hold the phone flat with the screen facing the sky and the top of the phone pointing away from you.,,False,faq_tip_hold_phone_flat,,"' Soundscape - The app that explores the use of innovative audio-based technology to enable people, particularly those with blindness or low vision, to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around by using 3D audio cues to enrich ambient awareness and provide a new way to relate to the environment. '"
,"If there is a bus route you take regularly, set your pickup and exit stops as Markers. This way they will be saved so you can find them again easily, just go to *""Manage Markers""* from the menu and find them in the list. You can set a beacon on them and you will get periodic updates on how close you are to your exit stop. Note: you can turn off the rhythmic sound and you will still get distance updates along the way.","If there is a bus route you take regularly, set your pickup and exit stops as Markers. This way they will be saved so you can find them again easily, just go to *""Manage Markers""* from the menu and find them in the list. You can set a beacon on them and you will get periodic updates on how close you are to your exit stop. Note: you can turn off the rhythmic sound and you will still get distance updates along the way.",,False,faq_tip_create_marker_at_bus_stop,,"' Marker - A location that has been marked as important by the user or application. This can be an address, a business or a custom place such as an entrance, a bus stop or a bench. The 'beacon' is an audio signal that helps fix the position of a location - the audio signal is played from the direction of a location which helps navigating towards that direction. 'Manage Markers' is the name of one of the options in the Soundscape menu. Quotes written as \"" '"
,No language selected,No language selected,,False,no_language_selected,,"' No language has been selected by the user, shown in the onboarding screens if the system language isn't supported by the app '"
,Notifications,Notifications,,False,first_launch_permissions_notification,,' Notifications are a type of Android permission required to run the app '
,We are running this location service in the foreground,We are running this location service in the foreground,,False,notification_text,,' Message appears as notification when app is running '
,Cancel search,Cancel search,,False,cancel_search_contentDescription,,' Option to cancel searching for a location '
,Audio,Audio,,False,menu_manage_audio,,' Title for settings page group of audio settings '
,Language and Region ,Language and Region ,,False,menu_manage_language,,' Title for settings page group of language settings '
,Accessibility,Accessibility,,False,menu_manage_accessibility,,' Title for settings page group of accessibility settings '
,Light or Dark Theme,Light or Dark Theme,,False,settings_theme_light_dark,,' App theme light/dark description '
,Auto,Auto,,False,settings_theme_auto,,' App theme setting for automatic light/dark based on system '
,Use light theme,Use light theme,,False,settings_theme_is_light,,' App theme setting for light (as opposed to dark) '
,Light,Light,,False,settings_theme_light,,' App theme setting for light (as opposed to dark) '
,Dark,Dark,,False,settings_theme_dark,,' App theme setting for dark (as opposed to light) '
,Theme contrast,Theme contrast,,False,settings_theme_contrast,,' App theme setting title for color contrast '
,Regular,Regular,,False,settings_theme_contrast_regular,,' App theme options for contrast setting - regular is the lowest contrast '
,Medium,Medium,,False,settings_theme_contrast_medium,,' App theme options for contrast setting - medium is the middle contrast '
,High,High,,False,settings_theme_contrast_high,,' App theme options for contrast setting - high has the most contrast'
,'%1$s is choice %2$s out of %3$s','%1$s is choice %2$s out of %3$s',,False,settings_list_item_description,,"' Description for an item in a list e.g. ""Blah is choice 2 out of 3"" '"
,keep,keep,,False,settings_keep_value,,' Setting hints for keeping or using a value from a list'
,use,use,,False,settings_use_value,,
,Exit location simulation,Exit location simulation,,False,street_preview_exit,,' Button text for exiting location simulation mode '
,Enable recording of travel,Enable recording of travel,,False,settings_travel_recording,,' Settings option for enabling recording of travel locations '
,Enable accessible map styling,Enable accessible map styling,,False,settings_accessible_map,,' Settings option for enabling a map styling which has improved accessibility '
,Show maps on screen,Show maps on screen,,False,settings_show_map,,' Settings option for showing or hiding the map on the screen '
,Debug options,Debug options,,False,settings_debug_heading,,' Settings title for various debugging options to aid developers '
,Search language,Search language,,False,settings_search_results_language,,' Settings title for choosing the languages returned by search '
,"Online search can use the local language of the result, or be forced to return English, French or German.","Online search can use the local language of the result, or be forced to return English, French or German.",,False,settings_search_results_language_description,,' Description of what the search language option does '
,Share recording of travel,Share recording of travel,,False,menu_share_recorded_route,,' Menu option for sharing the recorded travel route via another app '
,'%1$s to %2$s via %3$s','%1$s to %2$s via %3$s',,False,confect_name_to_via,,"' Description of path to another road that passes steps/tunnel/bridge e.g. ""Path to Moor Road via steps"" '"
,'%1$s to %2$s','%1$s to %2$s',,False,confect_name_to,,"' Road description of path to another road e.g. ""Path to Moor Road"" '"
,'%1$s that joins %2$s and %3$s','%1$s that joins %2$s and %3$s',,False,confect_name_joins,,"' Road description of path joining two roads e.g. ""Path that joins Roselea Drive and Moor Road"" '"
,'%1$s via %2$s','%1$s via %2$s',,False,confect_name_via,,"' Road description for path via steps/tunnel/bridge e.g. ""Path via bridge"" '"
,Sidewalk next to %1$s,Sidewalk next to %1$s,,False,confect_name_pavement_next_to,,"' Description for pavement next to road e.g. ""Pavement next to Clober Road"" '"
,Sidewalk,Sidewalk,,False,confect_name_pavement,,' Sidewalk description '
,dead end,dead end,,False,confect_name_dead_end,,' Dead end road description - a road that goes nowhere '
,Offline maps,Offline maps,,False,offline_maps_title,,' Offscreen maps screen title - offline maps are map files which can be downloaded by the app so that the app can work without Internet '
,Offline map details,Offline map details,,False,offline_map_details_title,,' Offscreen maps details title - this screen describes a single offline map extract that can be downloaded. '
,Loading…,Loading…,,False,offline_maps_loading,,' Offscreen maps still loading message '
,Downloading %s,Downloading %s,,False,offline_maps_downloading,,' Offscreen maps downloading message - this indicates to the user that the map is being downloaded. The %s is the name of the map '
,Server is preparing %s for download. This can take a few minutes and then the download will start automatically.,Server is preparing %s for download. This can take a few minutes and then the download will start automatically.,,False,offline_maps_caching,,' Offscreen maps caching message - This message appear whilst the server is preparing the offline map named %s for download. '
,'%s free','%s free',,False,offline_maps_free_space,,' Offscreen maps free space on storage. %s is replaced by value e.g. 32GB '
,Maps are saved to %1$s which has %2$s free,Maps are saved to %1$s which has %2$s free,,False,offline_maps_storage,,"' Offscreen maps storage storage information. %1$s is the name of the storage e.g. ""SD"" and %2$s is how much free space it has e.g. ""31.3 GB"" '"
,Maps already downloaded,Maps already downloaded,,False,offline_maps_already_downloaded,,' Offscreen maps title of list of downloaded maps'
,Nearby offline maps,Nearby offline maps,,False,offline_maps_nearby,,' Offscreen maps title of list of nearby maps'
,Loading list of offline maps,Loading list of offline maps,,False,offline_maps_loading_manifest,,' Offscreen maps text shown whilst downloading offline map manifest '
,Failed to download offline map data,Failed to download offline map data,,False,offline_maps_manifest_failed,,' Offscreen maps text shown when downloading the manifest failed '
,Delete offline map,Delete offline map,,False,offline_map_details_delete,,' Offscreen map details screen delete downloaded map '
,Download offline map,Download offline map,,False,offline_map_details_download,,' Offscreen map details screen download map from cloud '
,Size on phone: %s,Size on phone: %s,,False,offline_map_details_size_on_phone,,"' Offscreen map details screen size of map on phone, %s is size e.g. 1.3GB '"
,Download size: %s,Download size: %s,,False,offline_map_details_size_on_server,,"' Offscreen map details screen size of map on server, %s is size e.g. 1.3GB '"
,Map name: %s,Map name: %s,,False,offline_map_details_name,,' Offscreen map details extract name '
,Map includes these places: %s,Map includes these places: %s,,False,offline_map_details_city_list,,' Offscreen map details prefix to list of cities within extract '
,Those places also known as: %s,Those places also known as: %s,,False,offline_map_details_alternate_city_list,,' Offscreen map details prefix to list of cities within extract in alternate language '
,Offline map storage,Offline map storage,,False,offline_map_storage_title,,' Offscreen map storage settings title '
,"So that Soundscape can be used without an Internet connection it is possible to download maps and store them on the phone. The default storage is any external storage on your phone, but you can select an alternative destination here.","So that Soundscape can be used without an Internet connection it is possible to download maps and store them on the phone. The default storage is any external storage on your phone, but you can select an alternative destination here.",,False,offline_map_storage_description,,' Offscreen map storage description of use '
,Use WiFi only for map download,Use WiFi only for map download,,False,offline_map_wifi_only,,' Offscreen map download option to use WiFi Only and not mobile data '
,Accessibility,Accessibility,,False,accessibility_title,,' Accessibility onboarding screen title '
,"Because you have a screen reader enabled, we recommend running the app with the user interface's graphical maps turned off. You can change that setting here, or just continue on.","Because you have a screen reader enabled, we recommend running the app with the user interface's graphical maps turned off. You can change that setting here, or just continue on.",,False,accessibility_screen_reader_enabled,,"' If there is a screen reader enabled, then this text is shown to the user during onboarding. '"
,"Because you do not have a screen reader enabled, we assume that you want the graphical maps in the user interface to be displayed. You can change that setting here, or just continue on.","Because you do not have a screen reader enabled, we assume that you want the graphical maps in the user interface to be displayed. You can change that setting here, or just continue on.",,False,accessibility_screen_reader_disabled,,"' If there is no screen reader enabled, then this text is shown to the user during onboarding. '"
,Clear Text,Clear Text,,False,text_field_clear_text,,' Content description for button which clears text edit boxes '
,edit the marker name,edit the marker name,,False,marker_name_description_hint,,"' Content description for marker name - always preceded by ""Double tap to "" '"
,add an optional note to help you recognize this marker later,add an optional note to help you recognize this marker later,,False,annotation_description_hint,,"' Content description for annotation edit text field - always preceded by ""Double tap to "" '"
,edit the route name,edit the route name,,False,route_name_description_hint,,"' Content description for route name - always preceded by ""Double tap to "" '"
,add an optional description for this route,add an optional description for this route,,False,route_description_description_hint,,"' Content description for route description edit text field - always preceded by ""Double tap to "" '"
,Add Item,Add Item,,False,fab_add_item,,' Content description for floating action button which adds an item '
,Add Route,Add Route,,False,fab_add_route,,' Content description for floating action button which adds a route '
,Route %1$s at waypoint %2$s of %3$s,Route %1$s at waypoint %2$s of %3$s,,False,route_waypoint_progress,,' Describes current waypoint in route. '
,Soundscape Home,Soundscape Home,,False,home_screen_title,,' Home screen title '
,Reset settings to defaults,Reset settings to defaults,,False,settings_reset_button,,' Button text to reset settings to defaults '
,reset the settings to their defaults and then restart the app.,reset the settings to their defaults and then restart the app.,,False,settings_reset_button_hint,,' Hint text for button that resets the settings to defaults and then restarts the app'
,Are you sure?,Are you sure?,,False,settings_reset_dialog_title,,' Title of confirmation dialog for resetting settings '
,"Resetting the settings will delete all of the configured settings in the app, do you want to continue?","Resetting the settings will delete all of the configured settings in the app, do you want to continue?",,False,settings_reset_dialog_message,,' Message within confirmation dialog for resetting settings '
,Export markers and routes database,Export markers and routes database,,False,advanced_markers_and_routes_export_button,,' Button text for backing up (saving a copy) of the markers and routes database '
,Import markers and routes database,Import markers and routes database,,False,advanced_markers_and_routes_import_button,,' Button text for loading from a file the markers and routes database '
,Export,Export,,False,advanced_markers_and_routes_export,,' Text that appears in the content chooser when exporting the database '
,Import of markers and routes completed.,Import of markers and routes completed.,,False,markers_and_routes_import_success,,' Text for alert that shows after an import has been successfully complete '
,Import of markers and routes failed.,Import of markers and routes failed.,,False,markers_and_routes_import_failure,,' Text for alert that shows after an import has failed '
,Delete all markers and routes,Delete all markers and routes,,False,advanced_markers_and_routes_clear_all_button,,' Text for button to clear the whole markers and routes database '
,"Deleting all of the markers and routes cannot be undone, do you want to continue?","Deleting all of the markers and routes cannot be undone, do you want to continue?",,False,advanced_markers_and_routes_clear_all_alert_message,,' Text for dialog to check that the user really does want to delete all the markers and routes '
,Markers and routes deleted,Markers and routes deleted,,False,menu_advanced_markers_and_routes_clear_all_success,,' Text for confirmation message after all markers and routes have been deleted '
,Selected,Selected,,False,location_item_selected,,' Hint for location list item e.g. when editing route. Indicates that current item is selected. '
,Not selected,Not selected,,False,location_item_not_selected,,' Hint for location list item e.g. when editing route. Indicates that current item is not selected. '
,Move up in list,Move up in list,,False,location_item_move_up,,' Hint for location list item when editing list order. Indicates action moves the item up in the list. '
,Move down in list,Move down in list,,False,location_item_move_down,,' Hint for location list item when editing list order. Indicates action moves the item down in the list. '
,On %1$s between %2$s and %3$s,On %1$s between %2$s and %3$s,,False,street_description_between,,' Callout text when on a street (1) between two points (2 and 3) e.g. On Royal Road between First Street and 2nd Street'
,"On %1$s, %2$s until %3$s","On %1$s, %2$s until %3$s",,False,street_description_until,,"' Callout text when on a street (1) and heading towards a point (3) but a distance (2) away e.g. On Royal Road, 125m until 32nd Street '"
,"On %1$s, %2$s since %3$s","On %1$s, %2$s since %3$s",,False,street_description_since,,"' Callout text when on a street (1) having come from a point (3) and having travelled a distance (2) e.g. On Royal Road, 125m since 32nd Street '"
,On %1$s just before %2$s,On %1$s just before %2$s,,False,street_description_relative_before,,' Callout text when on a street (1) and just before a cross street or point of interest (2) '
,On %1$s just after %2$s,On %1$s just after %2$s,,False,street_description_relative_after,,' Callout text when on a street (1) and just after a cross street or point of interest (2) '
,Near intersection of %s,Near intersection of %s,,False,street_description_intersection,,' Callout text when at an intersection where we don't know which road we're on '
,New language available,New language available,,False,language_mismatch_title,,' Title for language mismatch dialog '
,Your phone is set to %1$s and that language is now available in Soundscape. Would you like to switch Soundscape to use %1$s?,Your phone is set to %1$s and that language is now available in Soundscape. Would you like to switch Soundscape to use %1$s?,,False,language_mismatch_message,,' Message for language mismatch dialog. %1$s is the phone language name '
,Switch to %1$s,Switch to %1$s,,False,language_mismatch_switch,,' Button to switch app language in the language mismatch dialog. %1$s is the language name '
,Keep current language,Keep current language,,False,language_mismatch_keep,,' Button to keep the current app language in the language mismatch dialog '
,New release information,New release information,,False,new_version_info_text,,' Title for dialog which explains what is new in the current release '
,Close new release dialog,Close new release dialog,,False,new_version_info_completed,,' Button at end of new release dialog so that the user can continue on and use the app '
,Open source licenses,Open source licenses,,False,menu_open_source_licenses,,' Title of screen that contains all of the information about the open source licenses of the packages used within the app '
,"
The main changes in this release are for *Search* and describing the current address. When there is network available, *Search* will use Android as well as our own Photon server to find places. The main improvements here are firstly that searching by street number should work much better in many parts of the world. Secondly, we have also added offline search which uses any downloaded maps to search for addresses and points of interest. Offline search works up to around 5 miles around the user.

Tips for searching:

The search UI has changed slightly since the last release as it didn't correctly support talkback editing. It also requires the user to hit enter/search to start the search after entering the search text.

Offline search requires offline maps to be downloaded. Download them from the Settings/Offline maps screen.

Searching can be forced to be offline only in the settings. The default Auto setting means that it uses online search when there's network available and offline search when there's none.

When searching for a street address, including the town name is important for online search, though it can be omitted in offline search.

Mapping of street numbers in the OpenStreetMap data that we use varies depending on location. Offline search will use street numbers when they are available, though an offline map downloaded in the app after January 19th 2026 is required.

As always please report any problems, however small they may be via the *Contact Support* option in the main menu.
","
The main changes in this release are for *Search* and describing the current address. When there is network available, *Search* will use Android as well as our own Photon server to find places. The main improvements here are firstly that searching by street number should work much better in many parts of the world. Secondly, we have also added offline search which uses any downloaded maps to search for addresses and points of interest. Offline search works up to around 5 miles around the user.

Tips for searching:

The search UI has changed slightly since the last release as it didn't correctly support talkback editing. It also requires the user to hit enter/search to start the search after entering the search text.

Offline search requires offline maps to be downloaded. Download them from the Settings/Offline maps screen.

Searching can be forced to be offline only in the settings. The default Auto setting means that it uses online search when there's network available and offline search when there's none.

When searching for a street address, including the town name is important for online search, though it can be omitted in offline search.

Mapping of street numbers in the OpenStreetMap data that we use varies depending on location. Offline search will use street numbers when they are available, though an offline map downloaded in the app after January 19th 2026 is required.

As always please report any problems, however small they may be via the *Contact Support* option in the main menu.
",,False,new_version_info_details,,' Text for dialog which explains what is new in the current release. This is in markdown format. '
,"Soundscape explores the use of innovative audio-based technology to enable people to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around.","Soundscape explores the use of innovative audio-based technology to enable people to build a richer awareness of their surroundings, thus becoming more confident and empowered to get around.",,False,about_soundscape,,' Text for the About Soundscape menu option. It describes what the app does '
,Soundscape wouldn't be possible without these fantastic third party libraries and data. Click on the links to see their licenses:,Soundscape wouldn't be possible without these fantastic third party libraries and data. Click on the links to see their licenses:,,False,copyright_notices,,' Licensing strings '
,[©OpenStreetMap contributors](https://www.openstreetmap.org/copyright) provide all of the geo data for mapping and audio used in Soundscape.,[©OpenStreetMap contributors](https://www.openstreetmap.org/copyright) provide all of the geo data for mapping and audio used in Soundscape.,,False,osm_copyright,,
,[©OpenMapTiles](https://github.com/openmaptiles/openmaptiles/blob/master/LICENSE.md) is used to generate the mapping tiles that we use.,[©OpenMapTiles](https://github.com/openmaptiles/openmaptiles/blob/master/LICENSE.md) is used to generate the mapping tiles that we use.,,False,openmaptiles_copyright,,
,[Audio Engine: FMOD Studio by Firelight Technologies Pty Ltd.](https://www.fmod.com/legal) takes care of the audio playback.,[Audio Engine: FMOD Studio by Firelight Technologies Pty Ltd.](https://www.fmod.com/legal) takes care of the audio playback.,,False,fmod_copyright,,
,Office Building,Office Building,,False,osm_office_building,,"' Open Street Map term. Used to describe a block or building typically housing companies, but offices may be also used by any other kind of organization like charities, government, any NGO etc.. '"
,School Building,School Building,,False,osm_school_building,,' Open Street Map term. Used for any generic building that is used as a school. '
,Covered Pavilion,Covered Pavilion,,False,osm_covered_pavilion,,' Open Street Map term. Used as a display name for place or a location. '
,Convenience Store,Convenience Store,,False,osm_convenience_store,,"' Open Street Map term. A small local shop carrying a variety of everyday products, mostly including single-serving food items such as milk, bread, snacks, groceries to over-the-counter medications, household items, stationery, and small auto supplies such as fuses. '"
,Building Entrance,Building Entrance,,False,osm_building_entrance,,' Open Street Map term. A doorway through which people can enter or exit a building. '
,Restroom,Restroom,,False,osm_restroom,,' Open Street Map term. Used to refer to a public toilet. '
,Parking Lot,Parking Lot,,False,osm_parking_lot,,"' Open Street Map term. Used to describe a facility used by the public, customers, or other authorised users for parking motor vehicles, such as cars and trucks, commonly known as a car park (British English) or parking lot (American English). '"
,Taxi Waiting Area,Taxi Waiting Area,,False,osm_taxi_waiting_area,,"' Open Street Map term. Used for the locating the point where taxis wait, not the point where passengers wait. '"
,Bike Parking,Bike Parking,,False,osm_bike_parking,,"' Open Street Map term. Refers to any parking space designed for bicycles, where one can leave a pedal cycle unattended in reasonable security. '"
,Gas Station,Gas Station,,False,osm_gas_station,,"' Open Street Map term. Used to map a fuel station, also known as a filling station, petrol station, gas station and petrol garage. It is the retail-type facility where motor vehicles can be refueled. '"
,'%s Bus Stop','%s Bus Stop',,False,osm_bus_stop_named,,"' Open Street Map term. Used as a display name for place or a location. %s is a bus stop name, such as ""London Bus Stop"". '"
